"","beta","mu","v","",""
"thetaparm",0.406198276439682,0.280349556356668,0.512461447855458,1,0.000638053516039315
"thetaparm",0.460723750293255,0.345487685874104,0.267176582943648,1,0.000494130372544626
"thetaparm",0.321500442922115,0.185493386350572,0.756461051525548,0,8.72116613884685e-05
"thetaparm",0.509900049772114,0.400117235025391,0.000914247706532478,1,0.000560478723693383
"thetaparm",0.213188961846754,0.0452792027499527,0.943996442947537,1,1.18133071900957e-05
"thetaparm",0.450443078065291,0.32785686920397,0.376781388185918,1,0.000117373668451413
"thetaparm",0.480625211959705,0.367875551106408,0.164791024522856,1,0.000574101389074325
"thetaparm",0.43789567775093,0.317104076500982,0.380530719878152,0,0.000471985256662626
"thetaparm",0.319911980303004,0.178927259519696,0.783036124892533,1,0.000546720528197115
"thetaparm",0.467193042160943,0.348493754398078,0.28498969390057,1,0.000287646662582436
"thetaparm",0.411859419429675,0.29223232390359,0.448999367188662,1,0.000257927210540718
"thetaparm",0.505368560319766,0.388888496439904,0.127039153128862,1,0.000402986130890962
"thetaparm",0.503623179160058,0.390391952358186,0.0696402876637876,0,8.59239954400237e-05
"thetaparm",0.302915914915502,0.166460976004601,0.792153998976573,1,0.000414964409511699
"thetaparm",0.269336702534929,0.121432039188221,0.863893190398812,0,0.000200316669751097
"thetaparm",0.410683297784999,0.289361089700833,0.469413493992761,1,0.000214629027580467
"thetaparm",0.486014045309275,0.370373150100932,0.172932501649484,0,8.32186080666035e-05
"thetaparm",0.415957911638543,0.292495431844145,0.468712363392115,0,0.000509124542818002
"thetaparm",0.479747656732798,0.366140940226614,0.154307811986655,1,0.000235437142209655
"thetaparm",0.351096785860136,0.219130656914786,0.682929300237447,0,0.000248292056448312
"thetaparm",0.467341248411685,0.346952173160389,0.295661702519283,1,6.3409036858985e-05
"thetaparm",0.507509677438065,0.396814782638103,0.0137967555783689,1,0.000215620369305097
"thetaparm",0.407277124002576,0.28056241129525,0.523425324354321,1,0.000289096962010266
"thetaparm",0.479428164195269,0.365306935505942,0.151423415867612,0,0.000602288675142976
"thetaparm",0.331724538002163,0.192804634803906,0.75625346112065,1,0.00044744104744765
"thetaparm",0.425824493635446,0.300726624205709,0.471847222885117,1,0.000207037885093589
"thetaparm",0.32263364829123,0.180856802733615,0.780466157244518,1,0.000429937871514668
"thetaparm",0.387768736341968,0.257698369910941,0.601860338123515,1,0.000206526232059464
"thetaparm",0.46627854462713,0.34657193464227,0.282542596105486,1,0.000365526419910042
"thetaparm",0.456990675069392,0.338669238612056,0.292440859833732,0,0.000465512577095904
"thetaparm",0.504001417662948,0.394184884615242,0.0118194140959531,1,0.000210912347260356
"thetaparm",0.417929307091981,0.295148096047342,0.470682972576469,0,0.000145293120130938
"thetaparm",0.445887247100472,0.328944975277409,0.332166553474963,1,0.00032554949675467
"thetaparm",0.495235972106457,0.382167473901063,0.0989489750936627,0,8.67713718792767e-05
"thetaparm",0.412436175625771,0.287301533157006,0.506064337445423,1,0.000174692738198048
"thetaparm",0.399014390772209,0.270582885481417,0.572037195786834,1,0.000610854965694338
"thetaparm",0.428416204405949,0.307612522505224,0.42399000399746,0,0.000203712859012616
"thetaparm",0.369644600432366,0.244389508850873,0.609172926750034,1,0.000132799607235525
"thetaparm",0.480301293311641,0.367294683121145,0.140682274242863,1,0.000308528294069476
"thetaparm",0.489633713616058,0.37316342885606,0.172511260723695,1,7.53059955037882e-05
"thetaparm",0.402370932046324,0.274168557720259,0.54479419765994,1,0.000409464130308766
"thetaparm",0.495478024706244,0.384708062978461,0.0556746937800199,1,4.39305177677568e-06
"thetaparm",0.505367628997192,0.393002124736086,0.0531099562067538,0,0.000225361591799925
