"","beta","mu","v","",""
"thetaparm",0.32824256666936,0.188482201192528,0.756695150630549,1,0.000439608070333847
"thetaparm",0.501369540346786,0.383365042740479,0.170619870070368,2,0.000577909772346157
"thetaparm",0.509405246237293,0.395407232455909,0.0413306364789605,1,0.000434167592229296
"thetaparm",0.484732709592208,0.374878750415519,0.0650285242591053,2,0.000471644717758315
"thetaparm",0.347577827051282,0.218938825419173,0.669523837044835,1,0.000443166239149653
"thetaparm",0.520048999460414,0.400615957332775,0.101013772422448,3,0.000171357397457404
"thetaparm",0.347291135927662,0.214325572131202,0.712138574104756,0,0.0011785644204929
"thetaparm",0.436885436763987,0.323166375979781,0.299380567390472,2,0.00048755145473179
"thetaparm",0.440372530836612,0.325893577188253,0.332988844951615,2,0.000820252954764029
"thetaparm",0.501457564998418,0.381430841516703,0.191356359282508,3,0.000343067049367214
"thetaparm",0.443131053820252,0.319162516389042,0.4022894538939,2,0.000307154951058076
"thetaparm",0.501515058567747,0.393733655102551,0.014210709836334,2,0.000987267266948352
"thetaparm",0.42303935973905,0.308503060368821,0.378047814359888,3,0.000433373414796382
"thetaparm",0.464720548130572,0.346541693434119,0.301448629936203,0,0.000835287906257875
"thetaparm",0.264006525976583,0.113276177085936,0.873596471967176,0,0.000615848264793498
"thetaparm",0.274527677800506,0.126722432672977,0.855680144857615,0,0.000543607408086465
"thetaparm",0.339502359274775,0.212085752282292,0.690106869209558,2,0.000425844270952522
"thetaparm",0.352769831661135,0.224029930308461,0.659742328571156,1,0.000422964044892483
"thetaparm",0.416330777574331,0.284391072113067,0.553548760712147,3,0.000379081763291475
"thetaparm",0.239703295519575,0.0704375554341823,0.922465820796788,3,0.00118306747258176
"thetaparm",0.373847889946774,0.24286015261896,0.649217159254476,1,0.0010337051294874
"thetaparm",0.436637388309464,0.324587922077626,0.324595982441679,3,0.00118286468820441
"thetaparm",0.23650616616942,0.0839046218898147,0.906719156075269,2,0.000224879858325616
"thetaparm",0.432999887969345,0.316985693294555,0.337765253148973,2,0.000614328231641561
"thetaparm",0.347599660977721,0.208899189718068,0.734013277571648,2,0.000908158126847785
"thetaparm",0.480328032979742,0.369354574009776,0.0781131964176893,2,0.00115313848889486
"thetaparm",0.318352521630004,0.177895870991051,0.777584536233917,1,0.000147753425160459
"thetaparm",0.395958462264389,0.268006747122854,0.545752313919365,1,0.0011532940031139
"thetaparm",0.374186977278441,0.251083323964849,0.584152181632817,2,0.000153081342838229
"thetaparm",0.374958886066452,0.251210868358612,0.580453743692487,2,0.000239474498365554
