"","time","S","I","R","C","V6"
"1",0,0.9999,1e-04,0,0,0.231049060186648
"2",1,0.999875482065481,0.000112257582271536,1.22603522476296e-05,2.4517934519166e-05,0.231049060186648
"3",2,0.999847960180383,0.00012601661086606,2.60232087510395e-05,5.20398196170996e-05,0.231049060186648
"4",3,0.999817066323554,0.000141460938058484,4.14727383872835e-05,8.29336764457679e-05,0.231049060186648
"5",4,0.999782442356487,0.000158769457985117,5.87881855283787e-05,0.000117557643513495,0.231049060186648
"6",5,0.999743563929481,0.000178204060704817,7.82320098143005e-05,0.000156436070519118,0.231049060186648
"7",6,0.999699927972558,0.000200015963116101,0.000100056064326059,0.00020007202744216,0.231049060186648
"8",7,0.999650953974645,0.000224495007776731,0.000124551017578203,0.000249046025354934,0.231049060186648
"9",8,0.999595989431642,0.000251966922183961,0.000152043646174202,0.000304010568358163,0.231049060186648
"10",9,0.999534302779857,0.000282796823169773,0.00018290039697337,0.000365697220143143,0.231049060186648
"11",10,0.999465073401709,0.000317394176956048,0.000217532421334741,0.000434926598290789,0.231049060186648
"12",11,0.999387380880154,0.000356218125330975,0.00025640099451507,0.000512619119846045,0.231049060186648
"13",12,0.999300200386516,0.00039977975165848,0.000300019861825783,0.000599799613484263,0.231049060186648
"14",13,0.999202366903355,0.000448659840087031,0.000348973256557812,0.000697633096644844,0.231049060186648
"15",14,0.999092583168561,0.000503504867735154,0.000403911963703984,0.000807416831439138,0.231049060186648
"16",15,0.998969395434425,0.000565038987909926,0.000465565577665791,0.000930604565575717,0.231049060186648
"17",16,0.998831172913313,0.000634074157152389,0.000534752929534453,0.00106882708668684,0.231049060186648
"18",17,0.998676088075735,0.000711519802655141,0.000612392121609979,0.00122391192426512,0.231049060186648
"19",18,0.99850209319976,0.000798394313933126,0.000699512486307545,0.00139790680024067,0.231049060186648
"20",19,0.998306894308392,0.000895837780426889,0.000797267911181475,0.00159310569160836,0.231049060186648
"21",20,0.998087922198981,0.00100512610769503,0.000906951693323867,0.0018120778010189,0.231049060186648
"22",21,0.997842300210912,0.0011276866698296,0.00103001311925842,0.00205769978908802,0.231049060186648
"23",22,0.99756680842616,0.00126511562682951,0.00116807594701056,0.00233319157384007,0.231049060186648
"24",23,0.997257843960365,0.00141919704813786,0.00132295899149756,0.00264215603963541,0.231049060186648
"25",24,0.996911376984839,0.00159192398473401,0.00149669903042698,0.00298862301516099,0.231049060186648
"26",25,0.996522902106497,0.0017855216296789,0.00169157626382411,0.00337709789350301,0.231049060186648
"27",26,0.99608738472362,0.00200247270013846,0.00191014257624184,0.0038126152763803,0.231049060186648
"28",27,0.995599204026543,0.00224554419766325,0.0021552517757942,0.00430079597345745,0.231049060186648
"29",28,0.995052082704735,0.00251782013247593,0.00243009716278973,0.00484791729526566,0.231049060186648
"30",29,0.994439019802093,0.00282273240044337,0.0027382477974643,0.00546098019790767,0.231049060186648
"31",30,0.993752214516304,0.0031640953894001,0.00308369009429626,0.00614778548369636,0.231049060186648
"32",31,0.992982979937136,0.00354614467030845,0.00347087539255612,0.00691702006286457,0.231049060186648
"33",32,0.992121652617947,0.00397357676294839,0.00390477061910468,0.00777834738205307,0.231049060186648
"34",33,0.991157494967084,0.00445159115408562,0.00439091387883014,0.00874250503291576,0.231049060186648
"35",34,0.9900785907947,0.00498593409814403,0.00493547510715663,0.00982140920530066,0.231049060186648
"36",35,0.98887173470845,0.00558294348167391,0.00554532180987652,0.0110282652915504,0.231049060186648
"210",36,0.987528436663815,0.00624339345164997,0.00622816988453544,0.0123715633361854,0.228986122149268
"310",37,0.986043603618845,0.00696550045205646,0.00699089592909863,0.0138563963811551,0.226923184111887
"410",38,0.984407329439569,0.00775235119458169,0.00784031936584941,0.0154926705604311,0.224860246074506
"510",39,0.98260812781553,0.00860728161308899,0.00878459057138153,0.0172918721844705,0.222797308037125
"610",40,0.980635095302282,0.00953316164089624,0.00983174305682198,0.0192649046977182,0.220734369999745
"710",41,0.978477429152871,0.0105324963854525,0.010990074461677,0.0214225708471295,0.218671431962364
"86",42,0.976124402782952,0.0116073990151607,0.0122681982018871,0.0237755972170478,0.216608493924983
"91",43,0.973565576420632,0.0127594812881443,0.0136749422912235,0.0263344235793679,0.214545555887602
"101",44,0.970790944922892,0.0139897674402965,0.0152192876368117,0.0291090550771082,0.212482617850221
"111",45,0.967791098206593,0.0152986064276786,0.0169102953657285,0.0321089017934071,0.210419679812841
"121",46,0.964557347650295,0.0166856255714063,0.0187570267782986,0.0353426523497049,0.20835674177546
"131",47,0.961082010370778,0.0181495383863898,0.0207684512428322,0.038817989629222,0.206293803738079
"141",48,0.957358510152125,0.0196881568261905,0.0229533330216849,0.0425414898478754,0.204230865700698
"151",49,0.953381546346382,0.0212983223630719,0.0253201312905463,0.0465184536536182,0.202167927663317
"161",50,0.949147292236084,0.0229758291699789,0.0278768785939376,0.0507527077639165,0.200104989625937
"171",51,0.94465355124344,0.0247153892705108,0.0306310594860494,0.0552464487565602,0.198042051588556
"181",52,0.939899902875227,0.0265106128346814,0.0335894842900915,0.0600000971247729,0.195979113551175
"191",53,0.934887830567168,0.0283540080679809,0.0367581613648514,0.0650121694328323,0.193916175513794
"201",54,0.929620824749542,0.0302370043174159,0.0401421709330422,0.0702791752504581,0.191853237476413
"211",55,0.924104457187739,0.0321499998491151,0.0437455429631459,0.075795542812261,0.189790299439033
"221",56,0.918346422741923,0.0340824352185237,0.0475711420395532,0.0815535772580769,0.187727361401652
"231",57,0.912356545490923,0.0360228923121277,0.0516205621969492,0.0875434545090769,0.185664423364271
"241",58,0.906146747137692,0.0379592182193299,0.0558940346429782,0.0937532528623081,0.18360148532689
"251",59,0.899730976720516,0.0398786721361025,0.0603903511433812,0.100169023279484,0.18153854728951
"261",60,0.893125101868608,0.0417680925507352,0.0651068055806569,0.106774898131392,0.179475609252129
"271",61,0.886346763101339,0.0436140810713173,0.0700391558273433,0.113553236898661,0.177412671214748
"281",62,0.87941519391369,0.0454031984780454,0.0751816076082649,0.12048480608631,0.175349733177367
"291",63,0.872351010551108,0.047122167970288,0.0805268214786041,0.127548989448892,0.173286795139986
"301",64,0.865175976392863,0.0487580801693652,0.086065943437772,0.134724023607137,0.171223857102606
"311",65,0.857912746683034,0.0502985942596482,0.0917886590573177,0.141987253316966,0.169160919065225
"321",66,0.850584606663921,0.0517321252587338,0.097683268077345,0.149315393336079,0.167097981027844
"331",67,0.843215180266214,0.0530480324733349,0.103736787260451,0.156684819733786,0.165035042990463
"341",68,0.835828160902538,0.0542367719383348,0.109935067159127,0.164071839097462,0.162972104953082
"351",69,0.828447051342625,0.0552900249927167,0.116262923664659,0.171452948657375,0.160909166915702
"361",70,0.821094901206361,0.0562008108532317,0.122704287940407,0.178805098793639,0.158846228878321
"37",71,0.813794066813339,0.0569635669178891,0.129242366268772,0.186105933186661,0.15678329084094
"38",72,0.806565994640353,0.0575741985780138,0.135859806781633,0.193334005359647,0.154720352803559
"39",73,0.799431029538256,0.0580300999475777,0.142538870514166,0.200468970461744,0.152657414766178
"40",74,0.792408250726587,0.0583301460637322,0.14926160320968,0.207491749273413,0.150594476728798
"41",75,0.785515337099778,0.0584746582513053,0.156010004648917,0.214384662900222,0.148531538691417
"42",76,0.778768462333539,0.0584653451222279,0.162766192544233,0.221131537666461,0.146468600654036
"43",77,0.772182219412827,0.0583052222334624,0.16951255835371,0.227717780587173,0.144405662616655
"44",78,0.7657695734448,0.0579985138114232,0.176231912743777,0.2341304265552,0.142342724579275
"45",79,0.759541840992878,0.0575505401703448,0.182907618836777,0.240358159007121,0.140279786541894
"46",80,0.753508693681184,0.0569675945147635,0.189523711804053,0.246391306318816,0.138216848504513
"47",81,0.747678183472252,0.0562568127395171,0.196065003788231,0.252221816527748,0.136153910467132
"48",82,0.742056786808044,0.0554260396463463,0.202517173545609,0.257843213191956,0.134090972429751
"49",83,0.736649464712269,0.0544836947090081,0.208866840578723,0.263250535287731,0.132028034392371
"50",84,0.731459735964719,0.0534386401642637,0.215101623871017,0.268440264035281,0.12996509635499
"51",85,0.7264897605574,0.0523000538088494,0.221210185633751,0.2734102394426,0.127902158317609
"52",86,0.721740430808671,0.0510773084651176,0.227182260726211,0.278159569191329,0.125839220280228
"53",87,0.717211467727183,0.0497798596599979,0.233008672612819,0.282688532272817,0.123776282242847
"54",88,0.712901520464985,0.048417142659337,0.238681336875678,0.286998479535015,0.121713344205467
"55",89,0.708808266963982,0.0469984796249041,0.244193253411114,0.291091733036018,0.119650406168086
"56",90,0.704928514169337,0.0455329973232211,0.249538488507442,0.294971485830663,0.117587468130705
"57",91,0.701258296447299,0.0440295555194017,0.2547121480333,0.298641703552701,0.115524530093324
"58",92,0.697792971095699,0.0424966859380177,0.259710342966283,0.302107028904301,0.113461592055943
"59",93,0.694527310067379,0.0409425414669186,0.264530148465702,0.305372689932621,0.111398654018563
"60",94,0.691455587236689,0.0393748551173043,0.269169557646007,0.308444412763311,0.109335715981182
"61",95,0.688571660725009,0.0378009081312001,0.27362743114379,0.31132833927499,0.107272777943801
"62",96,0.685869049962438,0.0362275065418837,0.277903443495678,0.314030950037562,0.10520983990642
"63",97,0.683341007299941,0.0346609654392816,0.281998027260778,0.316558992700059,0.103146901869039
"64",98,0.680980584100563,0.0331071001661983,0.285912315733239,0.318919415899437,0.101083963831659
"65",99,0.678780691331603,0.0315712236677826,0.289648085000614,0.321119308668397,0.0990210257942779
"66",100,0.676734154753991,0.0300581492314096,0.2932076960146,0.323165845246009,0.0969580877568971
"67",101,0.674833764862783,0.0285721978830641,0.296594037254153,0.325066235137217,0.0948951497195163
"68",102,0.673072321775959,0.0271172097456532,0.299810468478388,0.326827678224041,0.0928322116821355
"69",103,0.671442675299695,0.0256965587112573,0.302860765989048,0.328457324700305,0.0907692736447548
"70",104,0.669937760419181,0.0243131698304105,0.305749069750408,0.329962239580819,0.088706335607374
"71",105,0.668550628476579,0.0229695388748319,0.308479832648589,0.331349371523421,0.0866433975699932
"72",106,0.667274474303667,0.0216677535837941,0.311057772112539,0.332625525696333,0.0845804595326124
"73",107,0.666102659577446,0.0204095161570875,0.313487824265467,0.333797340422555,0.0825175214952316
"74",108,0.665028732663796,0.0191961666082734,0.31577510072793,0.334871267336204,0.0804545834578508
"75",109,0.664046445208174,0.0180287066398433,0.317924848151983,0.335853554791827,0.07839164542047
"76",110,0.663149765724176,0.0169078237465322,0.319942410529292,0.336750234275824,0.0763287073830892
"77",111,0.662332890421323,0.0158339152940773,0.3218331942846,0.337567109578677,0.0742657693457084
"78",112,0.661590251503006,0.0148071123580603,0.323602636138934,0.338309748496995,0.0722028313083277
"79",113,0.660916523154846,0.0138273031411362,0.325256173704018,0.338983476845154,0.0701398932709469
"80",114,0.66030662546158,0.0128941558267348,0.326799218711686,0.339593374538421,0.0680769552335661
"81",115,0.659755726325778,0.0120071407027407,0.328237132971482,0.340144273674222,0.0660140171961853
"82",116,0.659259241762856,0.0111655515160287,0.329575206721116,0.340640758237145,0.0639510791588045
"83",117,0.658812834675362,0.0103685259501119,0.330818639374527,0.341087165324639,0.0618881411214237
"84",118,0.658412412212086,0.00961506514590731,0.331972522642007,0.341487587787914,0.0598252030840429
"85",119,0.658053695793488,0.00890446231043665,0.333041841896075,0.341846304206512,0.0577622650466621
"212",120,0.656676240603118,0.00923418793114629,0.334089571465736,0.343223759396882,0.231049060186648
"312",121,0.65525106015488,0.00957302133557136,0.335175918509549,0.344648939845121,0.231049060186648
"411",122,0.653777102167726,0.00992096258925998,0.336301935243015,0.346122897832275,0.231049060186648
"511",123,0.652253466773812,0.0102779918843836,0.337468541341804,0.347646533226188,0.231049060186648
"611",124,0.650678981463423,0.0106440591304579,0.338676959406119,0.349221018536577,0.231049060186648
"711",125,0.649052724974999,0.0110190893847854,0.339928185640216,0.350847275025001,0.231049060186648
"810",126,0.647373771509579,0.0114029786783415,0.34122324981208,0.352526228490421,0.231049060186648
"910",127,0.64564123952664,0.0117955926120739,0.342563167861287,0.35425876047336,0.231049060186648
"1010",128,0.643854296913228,0.012196764694692,0.343948938392081,0.356045703086773,0.231049060186648
"1110",129,0.642012166482028,0.0126062946792059,0.345381538838767,0.357887833517972,0.231049060186648
