"","time","S","I","R","C","V6"
"1",0,0.9999,1e-04,0,0,0.231049060186648
"2",1,0.999875482065481,0.000112257582271536,1.22603522476296e-05,2.4517934519166e-05,0.231049060186648
"3",2,0.999847960180383,0.00012601661086606,2.60232087510395e-05,5.20398196170996e-05,0.231049060186648
"4",3,0.999817066323554,0.000141460938058484,4.14727383872835e-05,8.29336764457679e-05,0.231049060186648
"5",4,0.999782442356487,0.000158769457985117,5.87881855283787e-05,0.000117557643513495,0.231049060186648
"6",5,0.999743563929481,0.000178204060704817,7.82320098143005e-05,0.000156436070519118,0.231049060186648
"7",6,0.999699927972558,0.000200015963116101,0.000100056064326059,0.00020007202744216,0.231049060186648
"8",7,0.999650953974645,0.000224495007776731,0.000124551017578203,0.000249046025354934,0.231049060186648
"9",8,0.999595989431642,0.000251966922183961,0.000152043646174202,0.000304010568358163,0.231049060186648
"10",9,0.999534302779857,0.000282796823169773,0.00018290039697337,0.000365697220143143,0.231049060186648
"11",10,0.999465073401709,0.000317394176956048,0.000217532421334741,0.000434926598290789,0.231049060186648
"12",11,0.999387380880154,0.000356218125330975,0.00025640099451507,0.000512619119846045,0.231049060186648
"13",12,0.999300200386516,0.00039977975165848,0.000300019861825783,0.000599799613484263,0.231049060186648
"14",13,0.999202366903355,0.000448659840087031,0.000348973256557812,0.000697633096644844,0.231049060186648
"15",14,0.999092583168561,0.000503504867735154,0.000403911963703984,0.000807416831439138,0.231049060186648
"16",15,0.998969395434425,0.000565038987909926,0.000465565577665791,0.000930604565575717,0.231049060186648
"17",16,0.998831172913313,0.000634074157152389,0.000534752929534453,0.00106882708668684,0.231049060186648
"18",17,0.998676088075735,0.000711519802655141,0.000612392121609979,0.00122391192426512,0.231049060186648
"19",18,0.99850209319976,0.000798394313933126,0.000699512486307545,0.00139790680024067,0.231049060186648
"20",19,0.998306894308392,0.000895837780426889,0.000797267911181475,0.00159310569160836,0.231049060186648
"21",20,0.998087922198981,0.00100512610769503,0.000906951693323867,0.0018120778010189,0.231049060186648
"22",21,0.997842300210912,0.0011276866698296,0.00103001311925842,0.00205769978908802,0.231049060186648
"23",22,0.99756680842616,0.00126511562682951,0.00116807594701056,0.00233319157384007,0.231049060186648
"24",23,0.997257843960365,0.00141919704813786,0.00132295899149756,0.00264215603963541,0.231049060186648
"25",24,0.996911376984839,0.00159192398473401,0.00149669903042698,0.00298862301516099,0.231049060186648
"26",25,0.996522902106497,0.0017855216296789,0.00169157626382411,0.00337709789350301,0.231049060186648
"27",26,0.99608738472362,0.00200247270013846,0.00191014257624184,0.0038126152763803,0.231049060186648
"28",27,0.995599204026543,0.00224554419766325,0.0021552517757942,0.00430079597345745,0.231049060186648
"29",28,0.995052082704735,0.00251782013247593,0.00243009716278973,0.00484791729526566,0.231049060186648
"30",29,0.994439019802093,0.00282273240044337,0.0027382477974643,0.00546098019790767,0.231049060186648
"31",30,0.993752214516304,0.0031640953894001,0.00308369009429626,0.00614778548369636,0.231049060186648
"32",31,0.992982979937136,0.00354614467030845,0.00347087539255612,0.00691702006286457,0.231049060186648
"33",32,0.992121652617947,0.00397357676294839,0.00390477061910468,0.00777834738205307,0.231049060186648
"34",33,0.991157494967084,0.00445159115408562,0.00439091387883014,0.00874250503291576,0.231049060186648
"35",34,0.9900785907947,0.00498593409814403,0.00493547510715663,0.00982140920530066,0.231049060186648
"36",35,0.98887173470845,0.00558294348167391,0.00554532180987652,0.0110282652915504,0.231049060186648
"210",36,0.987526750703863,0.0062450199973922,0.00622822929874514,0.0123732492961373,0.229501856658613
"310",37,0.986035883622702,0.00697268399929725,0.00699143237800119,0.0138641163772984,0.227954653130577
"410",38,0.984387697606982,0.00777013363821136,0.00784216875480687,0.0155123023930182,0.226407449602542
"510",39,0.982568239724257,0.00864231333111511,0.0087894469446285,0.0173317602757436,0.224860246074506
"610",40,0.980564274055719,0.00959368604407463,0.00984203990020635,0.019335725944281,0.223313042546471
"710",41,0.978362027473319,0.0106286492898394,0.0110093232368424,0.0215379725266817,0.221765839018435
"810",42,0.975947375739996,0.0117514487608892,0.0123011754991157,0.0239526242600049,0.220218635490399
"910",43,0.973305954822167,0.0129660385828136,0.0137280065950195,0.0265940451778331,0.218671431962364
"1010",44,0.970423351438668,0.014276015269612,0.0153006332917204,0.0294766485613324,0.217124228434328
"114",45,0.967285233530252,0.0156845088027046,0.0170302576670438,0.0326147664697483,0.215577024906293
"121",46,0.963877519347071,0.0171940670343896,0.0189284136185399,0.0360224806529295,0.214029821378257
"131",47,0.960186564571487,0.0188065423957237,0.0210068930327893,0.0397134354285131,0.212482617850221
"141",48,0.956199387429535,0.0205229606006705,0.0232776519697951,0.0437006125704656,0.210935414322186
"151",49,0.951903887103862,0.0223434016004165,0.0257527112957221,0.0479961128961386,0.20938821079415
"161",50,0.947289077320223,0.0242668799262194,0.0284440427535581,0.0526109226797775,0.207841007266115
"171",51,0.942345340362265,0.0262912232853463,0.0313634363523889,0.0575546596377352,0.206293803738079
"181",52,0.937064678862001,0.0284129640408729,0.0345223570971268,0.0628353211379997,0.204746600210043
"191",53,0.931440967116942,0.0306272440901649,0.0379317887928937,0.0684590328830586,0.203199396682008
"201",54,0.925470192900724,0.0329277375849602,0.041602069514316,0.0744298070992762,0.201652193153972
"211",55,0.919150677041643,0.0353066002084007,0.0455427227499572,0.0807493229583579,0.200104989625937
"221",56,0.912483284758676,0.0377544401482702,0.0497622750930541,0.0874167152413243,0.198557786097901
"231",57,0.905471596724983,0.0402603248518321,0.0542680784231855,0.0944284032750176,0.197010582569865
"241",58,0.898122042363601,0.0428118231282976,0.0590661345081017,0.101777957636399,0.19546337904183
"251",59,0.890443988763993,0.0453950851257597,0.0641609261102475,0.109456011236007,0.193916175513794
"261",60,0.882449778521082,0.0479949618648746,0.0695552596140436,0.117450221478918,0.192368971985759
"271",61,0.874154711974486,0.0505951642741774,0.0752501237513369,0.125745288025514,0.190821768457723
"281",62,0.865576971010975,0.0531784600803878,0.0812445689086378,0.134323028989026,0.189274564929687
"291",63,0.856737483536918,0.0557269052475136,0.0875356112155683,0.143162516463082,0.187727361401652
"301",64,0.847659729841772,0.0582221050225063,0.0941181651357223,0.152240270158229,0.186180157873616
"311",65,0.83836949424014,0.0606454981382464,0.100985007621613,0.16153050575986,0.184632954345581
"321",66,0.82889456747611,0.0629786564498974,0.108126776073993,0.171005432523891,0.183085750817545
"331",67,0.819264407273831,0.065203591331146,0.115532001395023,0.180635592726169,0.18153854728951
"341",68,0.809509777150873,0.0673030491127716,0.123187173736355,0.190390222849127,0.179991343761474
"351",69,0.799662323142407,0.0692608262375037,0.13107685062009,0.200237676857594,0.178444140233438
"361",70,0.789754182754822,0.0710620258536386,0.13918379139154,0.210145817245179,0.176896936705403
"37",71,0.779817586892934,0.0726932933343975,0.147489119772668,0.220082413107066,0.175349733177367
"38",72,0.769884452211201,0.0741430312487002,0.155972516540099,0.230015547788799,0.173802529649332
"39",73,0.759986003382023,0.0754015640648874,0.16461243255309,0.239913996617977,0.172255326121296
"40",74,0.75015242434065,0.0764612577807945,0.173386317878556,0.249747575659351,0.17070812259326
"41",75,0.740412544604568,0.0773165930492151,0.182270862346218,0.259487455395433,0.169160919065225
"42",76,0.730793566903039,0.0779641913002699,0.191242241796691,0.269106433096961,0.167613715537189
"43",77,0.721320839899208,0.0784027953983485,0.200276364702444,0.278579160100793,0.166066512009154
"44",78,0.712017677953218,0.0786332079759526,0.20934911407083,0.287882322046782,0.164519308481118
"45",79,0.702905228184436,0.0786581918307537,0.21843657998481,0.296994771815564,0.162972104953082
"46",80,0.694002383579935,0.0784823377211798,0.227515278698885,0.305897616420065,0.161424901425047
"47",81,0.685325739612179,0.0781119055237625,0.236562354864058,0.314574260387821,0.159877697897011
"48",82,0.676889590808182,0.0775546450264425,0.245555764165376,0.323010409191818,0.158330494368976
"49",83,0.668705962965985,0.0768196026499029,0.254474434384112,0.331194037034015,0.15678329084094
"50",84,0.660784676236099,0.0759169201518134,0.263298403612088,0.339115323763902,0.155236087312904
"51",85,0.65313343405498,0.0748576309238932,0.272008935021127,0.34676656594502,0.153688883784869
"52",86,0.645757932904039,0.0736534588906927,0.280588608205269,0.354142067095961,0.152141680256833
"53",87,0.638661988034047,0.0723166243139273,0.289021387652026,0.361238011965953,0.150594476728798
"54",88,0.631847670601688,0.070859660045751,0.297292669352562,0.368052329398313,0.149047273200762
"55",89,0.625315452073247,0.0692952410014667,0.305389306925287,0.374584547926753,0.147500069672726
"56",90,0.619064352223814,0.0676360288724218,0.313299618903765,0.380835647776187,0.145952866144691
"57",91,0.613092087566845,0.0658945334008611,0.321013379032294,0.386807912433155,0.144405662616655
"58",92,0.607395217561901,0.0640829909099382,0.328521791528161,0.392504782438099,0.14285845908862
"59",93,0.601969286446501,0.0622132602362075,0.335817453317292,0.397930713553499,0.141311255560584
"60",94,0.596808959005687,0.0602967357545449,0.342894305239768,0.403091040994313,0.139764052032549
"61",95,0.591908149019191,0.0583442768170861,0.349747574163723,0.407991850980809,0.138216848504513
"62",96,0.587260139504555,0.0563661526448044,0.356373707850641,0.412639860495445,0.136669644976477
"63",97,0.582857694202335,0.0543720015061729,0.362770304291492,0.417042305797666,0.135122441448442
"64",98,0.578693160026428,0.0523708028834332,0.368936037090139,0.421206839973572,0.133575237920406
"65",99,0.574758560430727,0.0503708612537357,0.374870578315537,0.425141439569273,0.132028034392371
"66",100,0.571045679826134,0.0483798000899015,0.380574520083965,0.428854320173866,0.130480830864335
"67",101,0.567546139323918,0.0464045647040785,0.386049295972003,0.432353860676082,0.128933627336299
"68",102,0.564251464187313,0.0444514326080401,0.391297103204646,0.435648535812687,0.127386423808264
"69",103,0.561153143448186,0.0425260301380614,0.396320826413752,0.438746856551814,0.125839220280228
"70",104,0.558242682194444,0.0406333541830139,0.401123963622542,0.441657317805557,0.124292016752193
"71",105,0.555511647061169,0.0387777979553795,0.405710554983452,0.444388352938831,0.122744813224157
"72",106,0.552951705468538,0.0369631798512238,0.410085114680238,0.446948294531463,0.121197609696121
"73",107,0.550554659146022,0.0351927745526838,0.414252566301294,0.449345340853978,0.119650406168086
"74",108,0.548312472468542,0.0334693456320405,0.418218181899417,0.451587527531458,0.11810320264005
"75",109,0.546217296108809,0.0317951790175674,0.421987524873624,0.453682703891191,0.116555999112015
"76",110,0.544261486483401,0.0301721167763978,0.425566396740201,0.455638513516599,0.115008795583979
"77",111,0.542437621440069,0.0286015907575011,0.42896078780243,0.457462378559931,0.113461592055943
"78",112,0.540738512601808,0.0270846557178819,0.43217683168031,0.459161487398192,0.111914388527908
"79",113,0.539157214750639,0.0256220216270329,0.435220763622328,0.460742785249361,0.110367184999872
"80",114,0.537687032601651,0.0242140849085264,0.438098882489823,0.462212967398349,0.108819981471837
"81",115,0.536321525286374,0.0228609584336511,0.440817516279975,0.463578474713626,0.107272777943801
"82",116,0.53505450883446,0.0215625001306076,0.443382991034933,0.464845491165541,0.105725574415765
"83",117,0.533880056914257,0.0203183401144568,0.445801602971286,0.466019943085743,0.10417837088773
"84",118,0.532792500066383,0.019127906278354,0.448079593655263,0.467107499933617,0.102631167359694
"85",119,0.531786423639916,0.0179904483161903,0.450223128043894,0.468113576360084,0.101083963831659
"86",120,0.53085666461838,0.0169050601712067,0.452238275210414,0.469043335381621,0.0995367603036231
"87",121,0.52999830750223,0.0158707009250449,0.454130991572725,0.46990169249777,0.0979895567755875
"88",122,0.529206679396022,0.014886214157607,0.455907106446371,0.470693320603978,0.0964423532475519
"89",123,0.528477344431715,0.0139503458205555,0.457572309747729,0.471422655568285,0.0948951497195163
"90",124,0.527806097644556,0.0130617606767809,0.459132141678663,0.472093902355445,0.0933479461914808
"91",125,0.527188958404539,0.0122190573651328,0.460591984230328,0.472711041595462,0.0918007426634452
"92",126,0.52662216349444,0.0114207821545737,0.461957054350987,0.473277836505561,0.0902535391354096
"93",127,0.526102159914708,0.0106654414550007,0.463232398630291,0.473797840085293,0.088706335607374
"94",128,0.525625597485996,0.00995151315363116,0.464422889360372,0.474274402514004,0.0871591320793384
"95",129,0.525189321311636,0.00927745684630999,0.465533221842054,0.474710678688364,0.0856119285513028
