"","time","S","I","R","C","V6"
"1",0,0.9999,1e-04,0,0,0.231049060186648
"2",1,0.999875482065481,0.000112257582271536,1.22603522476296e-05,2.4517934519166e-05,0.231049060186648
"3",2,0.999847960180383,0.00012601661086606,2.60232087510395e-05,5.20398196170996e-05,0.231049060186648
"4",3,0.999817066323554,0.000141460938058484,4.14727383872835e-05,8.29336764457679e-05,0.231049060186648
"5",4,0.999782442356487,0.000158769457985117,5.87881855283787e-05,0.000117557643513495,0.231049060186648
"6",5,0.999743563929481,0.000178204060704817,7.82320098143005e-05,0.000156436070519118,0.231049060186648
"7",6,0.999699927972558,0.000200015963116101,0.000100056064326059,0.00020007202744216,0.231049060186648
"8",7,0.999650953974645,0.000224495007776731,0.000124551017578203,0.000249046025354934,0.231049060186648
"9",8,0.999595989431642,0.000251966922183961,0.000152043646174202,0.000304010568358163,0.231049060186648
"10",9,0.999534302779857,0.000282796823169773,0.00018290039697337,0.000365697220143143,0.231049060186648
"11",10,0.999465073401709,0.000317394176956048,0.000217532421334741,0.000434926598290789,0.231049060186648
"12",11,0.999387380880154,0.000356218125330975,0.00025640099451507,0.000512619119846045,0.231049060186648
"13",12,0.999300200386516,0.00039977975165848,0.000300019861825783,0.000599799613484263,0.231049060186648
"14",13,0.999202366903355,0.000448659840087031,0.000348973256557812,0.000697633096644844,0.231049060186648
"15",14,0.999092583168561,0.000503504867735154,0.000403911963703984,0.000807416831439138,0.231049060186648
"16",15,0.998969395434425,0.000565038987909926,0.000465565577665791,0.000930604565575717,0.231049060186648
"17",16,0.998831172913313,0.000634074157152389,0.000534752929534453,0.00106882708668684,0.231049060186648
"18",17,0.998676088075735,0.000711519802655141,0.000612392121609979,0.00122391192426512,0.231049060186648
"19",18,0.99850209319976,0.000798394313933126,0.000699512486307545,0.00139790680024067,0.231049060186648
"20",19,0.998306894308392,0.000895837780426889,0.000797267911181475,0.00159310569160836,0.231049060186648
"21",20,0.998087922198981,0.00100512610769503,0.000906951693323867,0.0018120778010189,0.231049060186648
"22",21,0.997842300210912,0.0011276866698296,0.00103001311925842,0.00205769978908802,0.231049060186648
"23",22,0.99756680842616,0.00126511562682951,0.00116807594701056,0.00233319157384007,0.231049060186648
"24",23,0.997257843960365,0.00141919704813786,0.00132295899149756,0.00264215603963541,0.231049060186648
"25",24,0.996911376984839,0.00159192398473401,0.00149669903042698,0.00298862301516099,0.231049060186648
"26",25,0.996522902106497,0.0017855216296789,0.00169157626382411,0.00337709789350301,0.231049060186648
"27",26,0.99608738472362,0.00200247270013846,0.00191014257624184,0.0038126152763803,0.231049060186648
"28",27,0.995599204026543,0.00224554419766325,0.0021552517757942,0.00430079597345745,0.231049060186648
"29",28,0.995052082704735,0.00251782013247593,0.00243009716278973,0.00484791729526566,0.231049060186648
"30",29,0.994439019802093,0.00282273240044337,0.0027382477974643,0.00546098019790767,0.231049060186648
"31",30,0.993752214516304,0.0031640953894001,0.00308369009429626,0.00614778548369636,0.231049060186648
"32",31,0.992982979937136,0.00354614467030845,0.00347087539255612,0.00691702006286457,0.231049060186648
"33",32,0.992121652617947,0.00397357676294839,0.00390477061910468,0.00777834738205307,0.231049060186648
"34",33,0.991157494967084,0.00445159115408562,0.00439091387883014,0.00874250503291576,0.231049060186648
"35",34,0.9900785907947,0.00498593409814403,0.00493547510715663,0.00982140920530066,0.231049060186648
"36",35,0.98887173470845,0.00558294348167391,0.00554532180987652,0.0110282652915504,0.231049060186648
"37",36,0.987522316001211,0.00624959397649163,0.00622809002229813,0.0123776839987898,0.231049060186648
"38",37,0.986014198196796,0.00699354135461344,0.00699226044859082,0.0138858018032043,0.231049060186648
"39",38,0.984329595910472,0.00782316448795004,0.00784723960157786,0.0155704040895279,0.231049060186648
"40",39,0.982448951301122,0.00874760312695302,0.00880344557192566,0.0174510486988787,0.231049060186648
"41",40,0.980350813158739,0.00977678903728572,0.00987239780397538,0.0195491868412611,0.231049060186648
"42",41,0.978011722581179,0.0109214674760396,0.0110668099427822,0.0218882774188218,0.231049060186648
"43",42,0.975406110265791,0.012193205304701,0.0124006844295081,0.0244938897342091,0.231049060186648
"44",43,0.972506211677513,0.0136043812714498,0.0138894070510374,0.0273937883224872,0.231049060186648
"45",44,0.969282007747628,0.0151681531661363,0.0155498390862365,0.0306179922523729,0.231049060186648
"46",45,0.965701201113609,0.016898394440044,0.017400404446347,0.0341987988863911,0.231049060186648
"47",46,0.961729235562291,0.0188095974457309,0.0194611669919786,0.0381707644377095,0.231049060186648
"48",47,0.957329376685027,0.0209167316540254,0.0217538916609482,0.0425706233149736,0.231049060186648
"49",48,0.952462860957188,0.0232350467939629,0.0243020922488493,0.0474371390428122,0.231049060186648
"50",49,0.947089134121911,0.0257798172828113,0.0271310485952785,0.0528108658780899,0.231049060186648
"51",50,0.941166192141563,0.0285660166305941,0.0302677912278438,0.058733807858438,0.231049060186648
"52",51,0.934651041413438,0.0316079145162836,0.0337410440702784,0.0652489585865621,0.231049060186648
"53",52,0.927500293213134,0.0349185908910908,0.0375811158957758,0.0723997067868666,0.231049060186648
"54",53,0.919670905138759,0.03850936416643,0.0418197306948117,0.0802290948612417,0.231049060186648
"55",54,0.911121078080679,0.0423891348527289,0.0464897870665923,0.0887789219193213,0.231049060186648
"56",55,0.901811310973333,0.046563651808334,0.0516250372183334,0.0980886890266674,0.231049060186648
"57",56,0.891705606979315,0.0510347156282061,0.057259677392479,0.108194393020685,0.231049060186648
"58",57,0.880772813754016,0.0557993425284723,0.0634278437175121,0.119127186245984,0.231049060186648
"59",58,0.868988067263637,0.060848921996268,0.0701630107400957,0.130911932736364,0.231049060186648
"60",59,0.856334293861155,0.0661684118033333,0.0774972943355116,0.143565706138845,0.231049060186648
"61",60,0.842803660528189,0.0717356459173816,0.0854606935544301,0.157096339471812,0.231049060186648
"62",61,0.828399136660298,0.0775207056502144,0.0940801576894874,0.171500863339702,0.231049060186648
"63",62,0.81313564990059,0.0834856259544481,0.103378724144962,0.18676435009941,0.231049060186648
"64",63,0.797041059734816,0.0895843445282217,0.113374595736962,0.202858940265184,0.231049060186648
"65",64,0.780156857706246,0.0957629527405052,0.124080189553249,0.219743142293754,0.231049060186648
"66",65,0.762538369725434,0.101960359578993,0.135501270695573,0.237361630274567,0.231049060186648
"67",66,0.744254464916462,0.108109353833706,0.147636181249833,0.255645535083539,0.231049060186648
"68",67,0.725386726336048,0.114138060277191,0.160475213386761,0.274513273663952,0.231049060186648
"69",68,0.706028077463963,0.119971750424262,0.174000172111775,0.293871922536037,0.231049060186648
"70",69,0.686280901188183,0.125534934606043,0.188184164205774,0.313619098811817,0.231049060186648
"71",70,0.66625472719766,0.130753632492578,0.202991640309763,0.333645272802341,0.231049060186648
"72",71,0.646063599203067,0.135557697111878,0.218378703685055,0.353836400796934,0.231049060186648
"73",72,0.625823259740723,0.139883056243106,0.234293684016171,0.374076740259277,0.231049060186648
"74",73,0.605648304333024,0.143673736804967,0.250677958862009,0.394251695666976,0.231049060186648
"75",74,0.585649456674962,0.146883552748896,0.267466990576143,0.414250543325039,0.231049060186648
"76",75,0.56593110256055,0.149477363302223,0.284591534137227,0.433968897439451,0.231049060186648
"77",76,0.546589194617681,0.151431842879495,0.301978962502824,0.45331080538232,0.231049060186648
"78",77,0.527709606217928,0.152735742262356,0.319554651519716,0.472190393782072,0.231049060186648
"79",78,0.509366965319562,0.153389667589948,0.33724336709049,0.490533034680438,0.231049060186648
"80",79,0.491624019426899,0.153405381932108,0.354970598640993,0.508275980573101,0.231049060186648
"81",80,0.474531425762094,0.152804783630497,0.37266379060741,0.525368574237907,0.231049060186648
"82",81,0.458127964093668,0.151618595719653,0.390253440186679,0.541772035906332,0.231049060186648
"83",82,0.442441103417442,0.149884864536393,0.407674032046165,0.557458896582558,0.231049060186648
"84",83,0.427487834829625,0.147647372212847,0.424864792957528,0.572412165170375,0.231049060186648
"85",84,0.413275685780004,0.144954051867168,0.441770262352829,0.586624314219997,0.231049060186648
"86",85,0.399803847897561,0.141855468802492,0.458340683299948,0.60009615210244,0.231049060186648
"87",86,0.387064351771842,0.138403423741734,0.474532224486424,0.612835648228158,0.231049060186648
"88",87,0.375043234515134,0.134649715680336,0.49030704980453,0.624856765484867,0.231049060186648
"89",88,0.363721658174248,0.130645086429927,0.505633255395825,0.636178341825752,0.231049060186648
"90",89,0.353076949050331,0.126438355254355,0.520484695695315,0.646823050949669,0.231049060186648
"91",90,0.343083538503373,0.122075741082728,0.534840720413899,0.656816461496628,0.231049060186648
"92",91,0.333713794924014,0.117600361510305,0.548685843565682,0.666186205075987,0.231049060186648
"93",92,0.324938743774407,0.113051892166635,0.562009364058958,0.674961256225594,0.231049060186648
"94",93,0.316728678062761,0.108466366680508,0.574804955256731,0.683171321937239,0.231049060186648
"95",94,0.309053665459192,0.103876096010829,0.58707023852998,0.690846334540808,0.231049060186648
"96",95,0.301883960730448,0.0993096859086824,0.59880635336087,0.698016039269553,0.231049060186648
"97",96,0.295190333527443,0.0947921323201519,0.610017534152405,0.704709666472557,0.231049060186648
"98",97,0.288944322062983,0.0903449762735782,0.620710701663438,0.710955677937017,0.231049060186648
"99",98,0.283118423100088,0.085986501923708,0.630895074976204,0.716781576899912,0.231049060186648
"100",99,0.277686228131774,0.0817319637191277,0.640581808149099,0.722213771868227,0.231049060186648
"101",100,0.272622514830427,0.0775938309503545,0.649783654219219,0.727277485169574,0.231049060186648
"102",101,0.267903301901629,0.0735820401087232,0.658514657989648,0.731996698098371,0.231049060186648
"103",102,0.263505874483655,0.0697042474688174,0.666789878047528,0.736394125516346,0.231049060186648
"104",103,0.259408786252767,0.0659660760611746,0.674625137686058,0.740491213747233,0.231049060186648
"105",104,0.255591843467091,0.0623713527135825,0.682036803819327,0.744308156532909,0.231049060186648
"106",105,0.25203607533271,0.0589223321118998,0.689041592555391,0.747863924667291,0.231049060186648
"107",106,0.248723694317033,0.055619905879583,0.695656399803384,0.751176305682967,0.231049060186648
"108",107,0.245638049369903,0.0524637955201424,0.701898155109955,0.754261950630097,0.231049060186648
"109",108,0.24276357444024,0.0494527287328679,0.707783696826893,0.75713642555976,0.231049060186648
"110",109,0.240085734189396,0.046584599124428,0.713329666686177,0.759814265810605,0.231049060186648
"111",110,0.237590968393892,0.0438566097215585,0.71855242188455,0.762309031606109,0.231049060186648
"112",111,0.235266636191187,0.0412654009654576,0.723467962843356,0.764633363808813,0.231049060186648
"113",112,0.233100961043582,0.0388071640567885,0.72809187489963,0.766799038956418,0.231049060186648
"114",113,0.231082977068787,0.0364777406389269,0.732439282292287,0.768817022931214,0.231049060186648
"115",114,0.229202477203185,0.0342727098713287,0.736524812925487,0.770697522796815,0.231049060186648
"116",115,0.227449963518279,0.0321874639672833,0.740362572514438,0.772450036481722,0.231049060186648
"117",116,0.225816599895938,0.0302172732613269,0.743966126842736,0.774083400104063,0.231049060186648
"118",117,0.224294167178492,0.0283573418397691,0.747348490981739,0.775605832821508,0.231049060186648
"119",118,0.222875020840755,0.0266028547199894,0.750522124439256,0.777024979159246,0.231049060186648
"120",119,0.221552051178805,0.024949017505828,0.753498931315367,0.778347948821195,0.231049060186648
"121",120,0.220318645971553,0.0233910893817773,0.75629026464667,0.779581354028448,0.231049060186648
"122",121,0.219168655542992,0.0219244102410129,0.758906934215996,0.780731344457009,0.231049060186648
"123",122,0.218096360133414,0.020544422674045,0.761359217192542,0.781803639866587,0.231049060186648
"124",123,0.217096439474848,0.0192466894777074,0.763656871047444,0.782803560525152,0.231049060186648
"125",124,0.216163944458139,0.0180269072796009,0.76580914826226,0.783736055541861,0.231049060186648
"126",125,0.215294270775155,0.0168809168118427,0.767824812413002,0.784605729224846,0.231049060186648
"127",126,0.214483134418715,0.0158047103105782,0.769712155270707,0.785416865581285,0.231049060186648
"128",127,0.213726548924611,0.0147944364678521,0.771479014607537,0.786173451075389,0.231049060186648
"129",128,0.213020804258581,0.0138464032699387,0.77313279247148,0.786879195741419,0.231049060186648
"130",129,0.212362447160521,0.0129570791956877,0.774680473643791,0.787537552839479,0.231049060186648
"131",130,0.211748262974834,0.0121230928367764,0.77612864418839,0.788151737025167,0.231049060186648
"132",131,0.211175258778871,0.0113412313479232,0.777483509873206,0.788724741221129,0.231049060186648
