 Iv,Is,Ig
0.0001,0.0001,0.0001
0.000108551,0.000108551,0.000108509
0.000117829,0.000117829,0.000117742
0.000127897,0.000127897,0.000127761
0.000138821,0.000138821,0.000138633
0.000150676,0.000150676,0.000150429
0.000163538,0.000163538,0.000163228
0.000177494,0.000177494,0.000177116
0.000192638,0.000192638,0.000192185
0.000209068,0.000209068,0.000208534
0.000226896,0.000226896,0.000226274
0.000246238,0.000246238,0.000245521
0.000267224,0.000267224,0.000266403
0.000289992,0.000289992,0.000289058
0.000314694,0.000314694,0.000313637
0.000341492,0.000341492,0.000340303
0.000370565,0.000370565,0.000369232
0.000402104,0.000402104,0.000400614
0.000436318,0.000436318,0.000434658
0.000473432,0.000473432,0.000471587
0.000513691,0.000513691,0.000511645
0.000557358,0.000557358,0.000555096
0.000604722,0.000604722,0.000602224
0.000656093,0.000656093,0.000653338
0.000711806,0.000711806,0.000708773
0.000772225,0.000772225,0.000768892
0.000837746,0.000837746,0.000834086
0.000908793,0.000908793,0.000904779
0.000985827,0.000985827,0.000981429
0.00106935,0.00106935,0.00106453
0.00115989,0.00115989,0.00115463
0.00125805,0.00125805,0.00125229
0.00136444,0.00136444,0.00135815
0.00147974,0.00147974,0.00147289
0.0016047,0.0016047,0.00159722
0.0017401,0.0017401,0.00173195
0.00188679,0.00188679,0.00187791
0.0020457,0.0020457,0.00203603
0.00221781,0.00221781,0.00220729
0.0024042,0.0024042,0.00239275
0.002606,0.002606,0.00259355
0.00282446,0.00282446,0.00281093
0.0030609,0.0030609,0.0030462
0.00331674,0.00331674,0.00330078
0.00359351,0.00359351,0.00357618
0.00389283,0.00389283,0.00387403
0.00421645,0.00421645,0.00419606
0.00456624,0.00456624,0.00454413
0.00494418,0.00494418,0.00492023
0.00535238,0.00535238,0.00532644
0.00579311,0.00579311,0.00576503
0.00626875,0.00626875,0.00623835
0.00678181,0.00678181,0.00674894
0.00733498,0.00733498,0.00729944
0.00793107,0.00793107,0.00789266
0.00857302,0.00857302,0.00853154
0.00926392,0.00926392,0.00921915
0.010007,0.010007,0.00995872
0.0108056,0.0108056,0.0107536
0.0116633,0.0116633,0.0116072
0.0125835,0.0125835,0.0125231
0.0135699,0.0135699,0.0135049
0.0146262,0.0146262,0.0145564
0.0157563,0.0157563,0.0156813
0.0169637,0.0169637,0.0168832
0.0182522,0.0182522,0.018166
0.0196254,0.0196254,0.0195331
0.0210867,0.0210867,0.020988
0.0226395,0.0226395,0.022534
0.0242866,0.0242866,0.0241741
0.0260306,0.0260306,0.0259108
0.0278738,0.0278738,0.0277464
0.0274954,0.0275756,0.0276068
0.0266921,0.0268563,0.0270657
0.0259166,0.0261532,0.0265271
0.0251674,0.0254662,0.0259915
0.0244433,0.0247952,0.0254594
0.023743,0.0241401,0.0249312
0.0230655,0.0235007,0.0244075
0.0224098,0.0228768,0.0238885
0.0217749,0.0222681,0.0233747
0.0211599,0.0216745,0.0228663
0.0205639,0.0210956,0.0223637
0.0199862,0.0205313,0.0218672
0.0194261,0.0199811,0.021377
0.0188829,0.0194449,0.0208933
0.0183559,0.0189224,0.0204164
0.0178445,0.0184133,0.0199464
0.0173482,0.0179173,0.0194834
0.0168663,0.0174341,0.0190277
0.0163985,0.0169634,0.0185793
0.0159442,0.016505,0.0181383
0.0155029,0.0160585,0.0177048
0.0150742,0.0156237,0.017279
0.0146578,0.0152003,0.0168607
0.0142531,0.014788,0.0164501
0.0138599,0.0143866,0.0160472
0.0134777,0.0139958,0.015652
0.0131063,0.0136154,0.0152645
0.0127452,0.013245,0.0148847
0.0123942,0.0128844,0.0145125
0.012053,0.0125335,0.014148
0.0117213,0.0121919,0.013791
0.0113987,0.0118594,0.0134416
0.0110851,0.0115358,0.0130996
0.0107802,0.0112209,0.0127651
0.0104837,0.0109144,0.0124379
0.0101953,0.0106161,0.0121179
0.00991495,0.0103258,0.0118051
0.00964229,0.0100434,0.0114994
0.00937713,0.00976858,0.0112007
0.00911927,0.00950116,0.010909
0.0088685,0.00924097,0.010624
0.00862463,0.00898782,0.0103457
0.00838536,0.00874212,0.0100818
0.0081491,0.00850443,0.00983905
0.0079166,0.00827478,0.00961618
0.00768849,0.00805317,0.00941201
0.0074653,0.0078396,0.00922548
0.00724748,0.00763408,0.00905565
0.00703539,0.00743658,0.00890166
0.00682932,0.00724709,0.00876275
0.00662951,0.00706558,0.00863823
0.00643614,0.00689202,0.00852749
0.00624935,0.00672637,0.00843001
0.00606922,0.00656858,0.0083453
0.00589583,0.0064186,0.00827296
0.00572921,0.00627639,0.00821265
0.00556934,0.0061419,0.00816407
0.00541623,0.00601507,0.00812697
0.00526983,0.00589585,0.00810118
0.0051301,0.0057842,0.00808654
0.00499698,0.00568007,0.00808297
0.00487038,0.00558343,0.00809042
0.00475024,0.00549423,0.00810889
0.00463646,0.00541244,0.00813842
0.00452896,0.00533805,0.00817911
0.00442765,0.00527105,0.00823109
0.00433243,0.00521143,0.00829454
0.00424322,0.0051592,0.00836969
0.00415992,0.00511439,0.00845682
0.00408245,0.00507702,0.00855623
0.00401072,0.00504715,0.00866832
0.00394467,0.00502484,0.00879349
0.00388421,0.00501018,0.00893224
0.00382929,0.00500326,0.00908509
0.00377983,0.00500422,0.00925263
0.0037358,0.00501318,0.00943552
0.00369715,0.00503033,0.00963448
0.00366385,0.00505584,0.0098503
0.00363587,0.00508994,0.0100838
0.0036132,0.00513288,0.010336
0.00359584,0.00518492,0.0106078
0.00358379,0.00524637,0.0109005
0.00357708,0.00531759,0.011215
0.00357573,0.00539893,0.0115528
0.00357979,0.00549083,0.0119152
0.00358933,0.00559374,0.0123038
0.0036044,0.00570815,0.0127201
